Title,Author,AverageRating,RatingsCount,Score
"He's a Stud, She's a Slut, and 49 Other Double Standards Every Woman Should Know",Jessica Valenti,3.89,"3,272","4,706"
"Catching Fire (The Hunger Games, #2)",Suzanne Collins,4.36,"41,90,426","4,705"
The Bluest Eye,Toni Morrison,4.13,"3,05,103","4,495"
The Women's Room,Marilyn French,3.99,"9,426","4,303"
Zami: A New Spelling of My Name,Audre Lorde,4.4,"24,068","4,299"
Reviving Ophelia: Saving the Selves of Adolescent Girls,Mary Pipher,3.89,"26,610","4,231"
The House of Mirth,Edith Wharton,3.98,"1,06,494","4,162"
Like Water for Chocolate,Laura Esquivel,3.95,"3,96,890","4,116"
Tess of the D’Urbervilles,Thomas Hardy,3.84,"3,03,876","4,092"
Middlemarch,George Eliot,4.04,"1,80,324","4,037"
The Madwoman in the Attic: The Woman Writer and the Nineteenth-Century Literary Imagination,Sandra M. Gilbert,4.21,"4,139","3,914"
Medea,Euripides,3.95,"88,110","3,808"
Fun Home: A Family Tragicomic,Alison Bechdel,4.07,"2,03,499","3,598"
Borderlands/La Frontera: The New Mestiza,Gloria E. Anzaldúa,4.33,"13,572","3,512"
The Cider House Rules,John Irving,4.17,"1,96,553","3,390"
A Tree Grows in Brooklyn,Betty  Smith,4.3,"5,16,012","3,339"
"Witches, Midwives and Nurses: A History of Women Healers",Barbara Ehrenreich,4.03,"7,015","3,311"
Wuthering Heights,Emily Brontë,3.9,"21,45,671","3,311"
Atlas Shrugged,Ayn Rand,3.69,"4,07,985","3,296"
Fear of Flying,Erica Jong,3.48,"23,605","3,220"
A Room with a View,E.M. Forster,3.89,"2,02,777","3,189"
The Subjection of Women,John Stuart Mill,3.88,"3,775","3,126"
Diving Into the Wreck,Adrienne Rich,4.23,"9,676","3,007"
Sexual Politics,Kate Millett,3.99,"3,933","2,914"
Revolution from Within: A Book of Self-Esteem,Gloria Steinem,4.12,"3,183","2,906"
Invisible Women: Data Bias in a World Designed for Men,Caroline Criado Pérez,4.34,"1,71,166","2,843"
The Bloody Chamber and Other Stories,Angela Carter,3.9,"65,677","2,745"
The Diary of a Young Girl,Anne Frank,4.2,"42,18,336","2,612"
"Delusions of Gender: How Our Minds, Society, and Neurosexism Create Difference",Cordelia Fine,4.08,"11,461","2,570"
"Anne of Green Gables (Anne of Green Gables, #1)",L.M. Montgomery,4.33,"11,21,012","2,560"
"Manifesta: Young Women, Feminism, and the Future",Jennifer Baumgardner,3.72,"3,118","2,550"
The Tenant of Wildfell Hall,Anne Brontë,4.03,"1,32,328","2,516"
Bitch: In Praise of Difficult Women,Elizabeth Wurtzel,3.38,"5,165","2,507"
Woman on the Edge of Time,Marge Piercy,3.91,"18,908","2,466"
The Robber Bride,Margaret Atwood,3.83,"49,980","2,427"
Pornography: Men Possessing Women,Andrea Dworkin,4.03,"2,150","2,414"
Madame Bovary,Gustave Flaubert,3.71,"3,77,692","2,404"
In the Time of the Butterflies,Julia Alvarez,4.15,"79,949","2,319"
Fat Is a Feminist Issue,Susie Orbach,3.68,"2,286","2,251"
Colonize This!: Young Women of Color on Today's Feminism,Bushra Rehman,4.2,"3,256","2,204"
The Hours,Michael Cunningham,3.96,"1,49,228","2,179"
A Room of One's Own / Three Guineas,Virginia Woolf,4.18,"5,254","2,155"
Feminism: The Essential Historical Writings,Miriam Schneir,4.09,526,"2,130"
How to Suppress Women's Writing,Joanna Russ,4.27,"2,882","2,081"
The Female Man,Joanna Russ,3.46,"9,077","2,078"
Men Explain Things to Me,Rebecca Solnit,3.83,"88,136","2,042"
The Penelopiad,Margaret Atwood,3.71,"88,870","2,013"
The Creation of Patriarchy,Gerda Lerner,4.37,"2,434","2,007"
Carrie,Stephen  King,3.99,"8,53,507","1,990"
Bossypants,Tina Fey,3.96,"10,59,159","1,961"
When God Was a Woman,Merlin Stone,3.98,"7,098","1,938"
The House of the Spirits,Isabel Allende,4.3,"3,23,535","1,933"
Intercourse,Andrea Dworkin,4.01,"2,890","1,873"
The Color of Violence: The Incite! Anthology,Incite! Women of Color Against Violence,4.34,"1,392","1,869"
Americanah,Chimamanda Ngozi Adichie,4.31,"4,15,357","1,859"
For Her Own Good: Two Centuries of the Experts' Advice to Women,Barbara Ehrenreich,3.96,"2,505","1,840"
The Woman Warrior: Memoirs of a Girlhood Among Ghosts,Maxine Hong Kingston,3.73,"33,967","1,827"
"Native Tongue (Native Tongue, #1)",Suzette Haden Elgin,4,"4,805","1,798"
Stone Butch Blues,Leslie Feinberg,4.55,"37,176","1,792"
Of Woman Born: Motherhood as Experience and Institution,Adrienne Rich,4.23,"2,843","1,788"
The Edible Woman,Margaret Atwood,3.7,"40,915","1,787"
The Dialectic of Sex: The Case for Feminist Revolution,Shulamith Firestone,3.84,"2,813","1,784"
"Mockingjay (The Hunger Games, #3)",Suzanne Collins,4.12,"37,50,480","1,755"
The Invention of Wings,Sue Monk Kidd,4.26,"3,33,795","1,753"
Outrageous Acts and Everyday Rebellions,Gloria Steinem,4.19,"5,105","1,707"
North and South,Elizabeth Gaskell,4.15,"1,84,361","1,704"
Cult Girls,Natalie Grand,4.32,800,"1,700"
Oranges Are Not the Only Fruit,Jeanette Winterson,3.73,"93,829","1,687"
Cat’s Eye,Margaret Atwood,3.95,"73,106","1,687"
Where the Girls Are: Growing Up Female with the Mass Media,Susan J. Douglas,3.92,"2,618","1,682"
"Ella Enchanted (Ella Enchanted, #1)",Gail Carson Levine,4.02,"4,24,566","1,656"
The Age of Innocence,Edith Wharton,3.97,"1,97,407","1,637"
"Pippi Longstocking (Pippi Långstrump, #1)",Astrid Lindgren,4.15,"2,09,937","1,619"
To Kill a Mockingbird,Harper Lee,4.26,"69,31,427","1,598"
"The No. 1 Ladies' Detective Agency (No. 1 Ladies' Detective Agency, #1)",Alexander McCall Smith,3.81,"2,76,568","1,570"
"My Brilliant Friend (Neapolitan Novels, #1)",Elena Ferrante,4.05,"4,76,078","1,508"
Bastard Out of Carolina,Dorothy Allison,4.14,"47,963","1,503"
"Feminism Without Borders: Decolonizing Theory, Practicing Solidarity",Chandra Talpade Mohanty,4.23,"2,019","1,501"
Magda Revealed,Ursula Werner,4.24,181,"1,499"
Howards End,E.M. Forster,3.96,"95,200","1,492"
Valley of the Dolls,Jacqueline Susann,3.86,"78,163","1,487"
Daughter of Fortune,Isabel Allende,3.95,"1,41,203","1,481"
Even Cowgirls Get the Blues,Tom Robbins,3.79,"57,471","1,471"
"Global Woman: Nannies, Maids, and Sex Workers in the New Economy",Barbara Ehrenreich,3.84,"1,281","1,413"
Lolita,Vladimir Nabokov,3.87,"9,52,285","1,405"
The Verbally Abusive Relationship: How to Recognize It and How to Respond,Patricia Evans,4.26,"4,944","1,403"
Syrian Brides,Anna Halabi,4.21,261,"1,400"
The Jamange Line,The Conductor,4.29,130,"1,398"
Sexing the Cherry,Jeanette Winterson,3.84,"19,150","1,392"
"Dear Ijeawele, or A Feminist Manifesto in Fifteen Suggestions",Chimamanda Ngozi Adichie,4.5,"88,653","1,366"
Infidel,Ayaan Hirsi Ali,4.2,"92,813","1,335"
"Sabriel (Abhorsen, #1)",Garth Nix,4.16,"2,19,017","1,326"
Lady Chatterley's Lover,D.H. Lawrence,3.5,"1,38,747","1,325"
"Black Feminist Thought: Knowledge, Consciousness, and the Politics of Empowerment",Patricia Hill Collins,4.41,"5,538","1,316"
"Bitches, Bimbos, and Ballbreakers: The Guerrilla Girls' Illustrated Guide to Female Stereotypes",Guerrilla Girls,3.98,855,"1,313"
Coraline,Neil Gaiman,4.13,"7,86,485","1,305"
Everyday Sexism,Laura Bates,4.26,"12,599","1,284"
The Prime of Miss Jean Brodie,Muriel Spark,3.69,"61,536","1,269"
Three Guineas,Virginia Woolf,3.92,"5,814","1,265"
The Lover,Marguerite Duras,3.7,"74,387","1,234"
The Paper Bag Princess,Robert Munsch,4.31,"52,404","1,225"
"The Bitch in the House: 26 Women Tell the Truth About Sex, Solitude, Work, Motherhood, and Marriage",Cathi Hanauer,3.53,"3,371","1,222"
My Secret Garden: Women's Sexual Fantasies,Nancy Friday,3.67,"3,553","1,208"
Angela's Ashes,Frank McCourt,4.15,"6,60,259","1,208"
The Golden Notebook,Doris Lessing,3.77,"24,822","1,201"
Unswerving,Barbara Ridley,4.58,40,"1,200"
The Curse of Damini,Debajani Mohanty,3.87,119,"1,199"
King Lear,William Shakespeare,3.91,"2,38,670","1,191"
"Sister Citizen: Shame, Stereotypes, and Black Women in America",Melissa V. Harris-Perry,4.26,"3,392","1,172"
"Girl, Interrupted",Susanna Kaysen,3.95,"2,81,096","1,163"
Asking for It: The Alarming Rise of Rape Culture and What We Can Do about It,Kate Harding,4.37,"4,240","1,150"
The Gate to Women's Country,Sheri S. Tepper,4.06,"14,170","1,149"
When She Woke,Hillary Jordan,3.68,"30,144","1,141"
Moll Flanders,Daniel Defoe,3.52,"48,811","1,139"
King Kong théorie,Virginie Despentes,4,"37,719","1,121"
The Revolution Starts at Home: Confronting Intimate Violence Within Activist Communities,Ching-In Chen,4.39,"1,116","1,119"
"Divergent (Divergent, #1)",Veronica Roth,4.13,"44,01,016","1,111"
Hunger: A Memoir of (My) Body,Roxane Gay,4.17,"1,21,741","1,111"
Milk and honey,Rupi Kaur,3.95,"8,14,427","1,106"
Possession,A.S. Byatt,3.9,"84,755","1,104"
The Piano Teacher,Elfriede Jelinek,3.62,"16,628","1,100"
Gyn/Ecology: The Metaethics of Radical Feminism,Mary Daly,3.89,"1,554","1,094"
"How the Pro-Choice Movement Saved America: Freedom, Politics and the War on Sex",Cristina Page,4.04,975,"1,092"
Women & Power: A Manifesto,Mary Beard,4.02,"39,544","1,089"
My Life on the Road,Gloria Steinem,4.07,"36,660","1,088"
Enlightened Sexism: The Seductive Message That Feminism's Work Is Done,Susan J. Douglas,3.86,"2,322","1,072"
Persuasion,Jane Austen,4.15,"7,83,619","1,061"
The Woman's Encyclopedia of Myths and Secrets,Barbara G. Walker,4.32,"1,386","1,039"
Cinderella Ate My Daughter: Dispatches from the Frontlines of the New Girlie-Girl Culture,Peggy Orenstein,3.67,"16,164","1,038"
Listen Up: Voices From the Next Feminist Generation,Barbara Findlen,3.98,"1,489","1,035"
"Women's Bodies, Women's Wisdom: Creating Physical and Emotional Health and Healing",Christiane Northrup,4.33,"12,858","1,035"
The Laugh of the Medusa,Hélène Cixous,4.18,"3,403","1,006"
The Journalist's Companion,Christopher B Daly,4.82,11,"1,000"
Sexual Personae: Art and Decadence from Nefertiti to Emily Dickinson (Yale Nota Bene),Camille Paglia,3.99,"3,658",991
Misogyny: The World's Oldest Prejudice,Jack Holland,4.14,"2,844",981
"Dawn (Xenogenesis, #1)",Octavia E. Butler,4.15,"64,393",979
"Lean In: Women, Work, and the Will to Lead",Sheryl Sandberg,3.95,"2,69,561",974
"On Lies, Secrets, and Silence. Selected Prose 1966-1978",Adrienne Rich,4.35,"1,149",964
