Title,Author,AverageRating,RatingsCount,Score
"Love, Activism, and the Respectable Life of Alice Dunbar-Nelson",Tara T. Green,4.15,40,495
"Scarlet (The Lunar Chronicles, #2)",Marissa Meyer,4.23,"4,62,920",493
2006 - Thanks for the Vodka,Harpie,4.8,15,491
"The Technology of Orgasm: ""Hysteria,"" the Vibrator, and Women's Sexual Satisfaction",Rachel P. Maines,3.91,936,485
"The Goddesses and Gods of Old Europe, 6500-3500 BC.: Myths and Cult Images",Marija Gimbutas,4.26,375,483
I Am an Emotional Creature,Eve Ensler,4.01,"3,401",482
Coming of Age in Mississippi: The Classic Autobiography of a Young Black Girl in the Rural South,Anne Moody,4.13,"11,687",482
"Dealing with Dragons (Enchanted Forest Chronicles, #1)",Patricia C. Wrede,4.16,"94,568",481
Packaging Girlhood: Rescuing Our Daughters from Marketers' Schemes,Sharon Lamb,3.67,563,480
Kunskapens frukt,Liv Strömquist,4.5,"13,025",480
Trans Liberation: Beyond Pink or Blue,Leslie Feinberg,4.12,"1,999",479
Pornland: How Porn Has Hijacked Our Sexuality,Gail Dines,3.96,"1,940",478
"The Fifth Season (The Broken Earth, #1)",N.K. Jemisin,4.28,"3,37,740",477
The Elegance of the Hedgehog,Muriel Barbery,3.81,"2,01,162",475
Get to Work: A Manifesto for Women of the World,Linda R. Hirshman,3.62,346,474
Peony in Love,Lisa See,3.64,"50,743",469
Possessing the Secret of Joy,Alice Walker,4.09,"15,806",465
Raising Cain: Protecting the Emotional Life of Boys,Dan Kindlon,4.01,"5,634",464
"Communion: The Female Search for Love (Love Song to the Nation, #2)",bell hooks,4.34,"10,876",464
Assata: An Autobiography,Assata Shakur,4.6,"31,803",461
If Life Is a Bowl of Cherries What Am I Doing in the Pits?,Erma Bombeck,4.03,"14,848",460
The Natural Superiority of Women,Ashley Montagu,3.93,148,458
Virgin: The Untouched History,Hanne Blank,3.95,"1,453",457
"Testosterone Rex: Myths of Sex, Science, and Society",Cordelia Fine,3.79,"3,555",457
Educated,Tara Westover,4.46,"18,81,836",452
The Dance of Anger: A Woman's Guide to Changing the Patterns of Intimate Relationships,Harriet Lerner,4.11,"29,427",449
"The Secret of the Old Clock (Nancy Drew Mystery Stories, #1)",Carolyn Keene,3.98,"84,574",449
"Shanghai Girls (Shanghai Girls, #1)",Lisa See,3.92,"1,63,244",447
Good and Mad: The Revolutionary Power of Women's Anger,Rebecca Traister,4.36,"12,164",439
"Flux: Women on Sex, Work, Love, Kids, and Life in a Half-Changed World",Peggy Orenstein,3.85,757,434
Written on the Body,Jeanette Winterson,4.08,"34,209",432
Not That Bad: Dispatches from Rape Culture,Roxane Gay,4.43,"22,834",430
Women in Love,D.H. Lawrence,3.66,"33,544",424
Heartbreak: The Political Memoir of a Feminist Militant,Andrea Dworkin,4.15,815,421
"Hild (The Hild Sequence, #1)",Nicola Griffith,3.85,"12,875",416
A Woman in Berlin: Eight Weeks in the Conquered City: A Diary,Anonymous,4.29,"17,907",415
The Glass Castle,Jeannette Walls,4.33,"13,71,568",411
The Good Women of China: Hidden Voices,Xinran,4.32,"13,354",409
Foxfire: Confessions of a Girl Gang,Joyce Carol Oates,3.78,"8,260",402
Esperanza Rising,Pam Muñoz Ryan,4.05,"1,14,916",402
"Paradise (Beloved Trilogy, #3)",Toni Morrison,3.86,"29,218",400
Root of the Spark,Michele Fogal,4.07,44,400
Are Women Human?: And Other International Dialogues,Catharine A. MacKinnon,4.28,235,395
Girls to the Front: The True Story of the Riot Grrrl Revolution,Sara Marcus,3.95,"9,116",395
"Clockwork Prince (The Infernal Devices, #2)",Cassandra Clare,4.42,"5,87,000",395
See Me Naked: Black Women Defining Pleasure During the Interwar Era,Tara T. Green,4.14,7,395
Walks Away Woman,Ki Longfellow,4.37,"1,191",393
"The Year of the Flood (MaddAddam, #2)",Margaret Atwood,4.07,"1,33,511",390
Reality Bites Back: The Troubling Truth About Guilty Pleasure TV,Jennifer L. Pozner,3.85,"1,123",387
Beauty and Misogyny: Harmful Cultural Practices in the West,Sheila Jeffreys,4.03,432,386
Women Don't Owe You Pretty,Florence Given,3.69,"69,030",386
Lives of Girls and Women,Alice Munro,3.94,"16,090",383
Brick Lane,Monica Ali,3.46,"35,879",382
Feuchtgebiete,Charlotte Roche,2.88,"12,055",378
"Not That Kind of Girl: A Young Woman Tells You What She's ""Learned""",Lena Dunham,3.29,"1,35,831",378
"America's Women: 400 Years of Dolls, Drudges, Helpmates, and Heroines",Gail Collins,4.16,"4,893",377
The Feminine Mistake: Are We Giving Up Too Much?,Leslie Bennetts,3.75,"1,001",373
Jane Sexes It Up: True Confessions of Feminist Desire,Merri Lisa Johnson,4,697,372
"Code Name Verity (Code Name Verity, #1)",Elizabeth Wein,4,"1,28,840",372
"Histoire d'O | Story of O (Story of O, #1)",Pauline Réage,3.3,"22,185",371
She’s Come Undone,Wally Lamb,3.92,"3,64,682",369
Myths of Gender: Biological Theories about Women and Men,Anne Fausto-Sterling,4.12,416,367
"Scheherazade Goes West: Different Cultures, Different Harems",Fatema Mernissi,3.9,"1,393",365
The Female of the Species,Mindy McGinnis,4.14,"39,034",364
True Grit,Charles Portis,4.17,"73,755",363
The Meaning of Wife: A Provocative Look at Women and Marriage in the Twenty-First Century,Anne Kingston,3.67,"1,049",362
Survival of the Prettiest: The Science of Beauty,Nancy L. Etcoff,3.78,"1,991",360
"Women, Culture, and Politics",Angela Y. Davis,4.38,"1,691",356
I'm Afraid of Men.,Vivek Shraya,4.2,"12,643",354
"I, Elizabeth",Rosalind Miles,4.02,"13,570",353
The Gift of Fear: And Other Survival Signals That Protect Us from Violence,Gavin de Becker,4.18,"51,777",353
"Throne of Glass (Throne of Glass, #1)",Sarah J. Maas,4.19,"24,54,639",350
The Equality Illusion: The Truth About Women and Men Today,Kat Banyard,4.01,803,349
"This Is Woman's Work: Calling Forth Your Inner Council of Wise, Brave, Crazy, Rebellious, Loving, Luminous Selves",Dominique Christina,4.34,143,348
Stiffed: The Betrayal of the American Man,Susan Faludi,3.93,"1,058",347
In the Company of the Courtesan,Sarah Dunant,3.8,"26,011",347
"Anne of Avonlea (Anne of Green Gables, #2)",L.M. Montgomery,4.23,"2,27,851",347
The Hite Report: A Nationwide Study of Female Sexuality,Shere Hite,3.88,840,344
The Mother of All Questions,Rebecca Solnit,4.19,"9,062",343
Where We Stand: Class Matters,bell hooks,4.24,"2,944",341
How to be Both,Ali Smith,3.66,"27,711",340
"Clockwork Princess (The Infernal Devices, #3)",Cassandra Clare,4.55,"4,78,799",340
Myth of the Welfare Queen: A Pulitzer Prize-Winning Journalist's Portrait of Women on the Line,David Zucchino,4.3,272,339
Some of Us Did Not Die: New and Selected Essays,June Jordan,4.45,881,335
"Thendara House (Darkover, #13)",Marion Zimmer Bradley,3.98,"2,953",335
"Galileo's Daughter: A Historical Memoir of Science, Faith and Love",Dava Sobel,3.75,"30,419",334
Washington Square,Henry James,3.71,"26,009",330
"Marbles: Mania, Depression, Michelangelo, and Me",Ellen Forney,4.02,"16,757",329
Medea,Christa Wolf,3.92,"5,074",328
Going Too Far: The Personal Chronicle of a Feminist,Robin Morgan,3.98,46,328
The Vegetarian,Han Kang,3.65,"3,95,604",323
The Woman Destroyed,Simone de Beauvoir,4.01,"46,468",320
Flow: The Cultural Story of Menstruation,Elissa Stein,3.71,"1,715",320
M. Butterfly,David Henry Hwang,3.93,"15,138",319
"Postmortem (Kay Scarpetta, #1)",Patricia Daniels Cornwell,4.03,"2,57,748",319
The Body Project: An Intimate History of American Girls,Joan Jacobs Brumberg,3.82,"3,758",319
Why Does He Do That? Inside the Minds of Angry and Controlling Men,Lundy   Bancroft,4.49,"18,234",319
All the Single Ladies,Rebecca Traister,4,"17,440",318
"The Means of Reproduction: Sex, Power, and the Future of the World",Michelle Goldberg,4.02,"1,083",315
The Gospel According to Woman: Christianity's Creation of the Sex War in the West,Karen Armstrong,3.8,149,314
Bone Black,bell hooks,4.26,"4,413",314
The Complete Poems,Anne Sexton,4.29,"16,839",314
The Passion of Artemisia,Susan Vreeland,3.91,"20,029",314
"Persepolis 2: The Story of a Return (Persepolis, #2)",Marjane Satrapi,4.22,"79,318",313
Divine Secrets of the Ya-Ya Sisterhood,Rebecca Wells,3.86,"5,69,269",312
"The Girl Who Kicked the Hornet’s Nest (Millennium, #3)",Stieg Larsson,4.24,"7,78,931",310
From the Mixed-Up Files of Mrs. Basil E. Frankweiler,E.L. Konigsburg,4.16,"2,19,795",310
The Weaker Vessel,Antonia Fraser,3.92,"1,431",310
The Diary of Frida Kahlo: An Intimate Self-Portrait,Frida Kahlo,3.89,"50,125",309
Lucky,Alice Sebold,3.77,"1,01,950",308
"The Suffragette Scandal (Brothers Sinister, #4)",Courtney Milan,4.06,"9,405",307
"How to be Famous (How to Build a Girl, #2)",Caitlin Moran,4,"8,832",306
"One Thousand White Women: The Journals of May Dodd (One Thousand White Women, #1)",Jim Fergus,3.91,"1,36,838",305
The Flight Cage,Rebecca Dunham,3.83,30,300
Harriet the Spy (Harriet the Spy #1),Louise Fitzhugh,3.95,"1,00,840",300
DIARY OF AN INTERNATIONAL CALL GIRL,Isabella Pax,4.22,9,300
"Freyja's Daughter (Wild Women, #1)",Rachel Pudelek,3.8,383,300
The Outcasts - A Thousand Dreams of Redemption,Lidija Stankovikj,4.06,36,300
"Women's Voices, Feminist Visions: Classic and Contemporary Readings",Susan M. Shaw,3.91,486,299
"Shillingstone Witch (Fiona Frost, #4)",Bon Blossman,3.76,"1,258",299
Feminismo para principiantes,Nuria Varela,4.29,"4,239",299
Feminist AF: A Guide to Crushing Girlhood,Brittney Cooper,4.37,245,299
Gerald's Game,Stephen  King,3.59,"1,79,892",298
The Blind Assassin,Margaret Atwood,3.96,"1,64,094",298
Summer Hours,Amy Mason Doan,3.83,"2,905",298
We Are Bridges: A Memoir,Cassandra Lane,4.03,391,298
How We Fall,Kate Brauning,3.65,734,298
The Clique,Rhiannon Barnsley,3.83,734,298
When Women Were Birds: Fifty-four Variations on Voice,Terry Tempest Williams,4.21,"9,503",297
Shakespeare's Wife,Germaine Greer,3.46,"1,120",296
Disposable Domestics: Immigrant Women Workers in the Global Economy,Grace Chang,4.25,247,294
"Can We All Be Feminists?: New Writing from Brit Bennett, Nicole Dennis-Benn, and 15 Others on Intersectionality, Identity, and the Way Forward for Feminism",June Eric-Udorie,4.25,"1,313",294
The Straight Mind: And Other Essays,Monique Wittig,4.14,"2,677",293
You Can't Keep a Good Woman Down: Stories,Alice Walker,4.01,"3,416",291
Pro-Life Feminism: Different Voices,Gail-Grenier Sweet,3.75,8,290
Purple Hibiscus,Chimamanda Ngozi Adichie,4.18,"1,44,616",290
"The Girl with All the Gifts (The Girl With All the Gifts, #1)",M.R. Carey,3.95,"2,46,023",290
"How to Build a Girl (How to Build a Girl, #1)",Caitlin Moran,3.71,"36,910",290
In Defense of Witches: The Legacy of the Witch Hunts and Why Women Are Still on Trial,Mona Chollet,4.04,"23,664",290
When I Hit You,Meena Kandasamy,4.07,"6,656",289
"Garden Spells (Waverley Family, #1)",Sarah Addison Allen,4.07,"1,08,372",287
"The Realms of the Gods (Immortals, #4)",Tamora Pierce,4.31,"57,805",287
Remarkable Creatures,Tracy Chevalier,3.9,"55,888",285
From the Beast to the Blonde: On Fairy Tales and Their Tellers,Marina Warner,4.12,"1,476",284
The Price of Motherhood: Why the Most Important Job in the World Is Still the Least Valued,Ann Crittenden,4.06,776,284
The Geek Feminist Revolution,Kameron Hurley,3.86,"4,297",284
The Kin of Ata Are Waiting for You,Dorothy Bryant,4.16,"2,361",283
"Girl, Woman, Other",Bernardine Evaristo,4.26,"2,66,459",283
Are You My Mother?: A Comic Drama,Alison Bechdel,3.71,"35,634",282
"Wolf-Speaker (The Immortals, #2)",Tamora Pierce,4.21,"60,908",282
Her Body and Other Parties: Stories,Carmen Maria Machado,3.8,"1,06,874",282
Feminists Don't Wear Pink (And Other Lies): Amazing Women on What the F-Word Means to Them,Scarlett Curtis,3.99,"16,884",281
"Emperor Mage (The Immortals, #3)",Tamora Pierce,4.29,"65,817",277
Feminist Literary Theory: A Reader,Mary Eagleton,3.76,123,276
"Unbearable Weight: Feminism, Western Culture, and the Body",Susan Bordo,4.12,"1,876",276
"Exit, Pursued by a Bear",E.K. Johnston,3.9,"12,582",276
Feminasty: The Complicated Woman's Guide to Surviving the Patriarchy Without Drinking Herself to Death,Erin Gibson,3.99,"4,619",275
Push,Sapphire,3.88,"59,438",274
Yes Please,Amy Poehler,3.85,"5,57,813",273
Anarchism and Other Essays,Emma Goldman,4.06,"7,252",273
Pygmalion,George Bernard Shaw,3.88,"1,10,197",272
Fa Mulan: The Story of a Woman Warrior,Robert D. San Souci,3.86,363,271
The Sadeian Woman: And the Ideology of Pornography,Angela Carter,4.04,"1,594",270
"Graceling (Graceling Realm, #1)",Kristin Cashore,4.06,"4,81,066",270
Anti-Porn: The Resurgence of Anti-Pornography Feminism,Julia Long,3.97,62,270
I Don't: A Contrarian History of Marriage,Susan Squire,3.45,385,269
A People’s History of the United States: 1492 - Present,Howard Zinn,4.09,"2,67,634",269
"Black Sexual Politics: African Americans, Gender, and the New Racism",Patricia Hill Collins,4.35,"1,078",268
Woman of Valor: Margaret Sanger and the Birth Control Movement in America,Ellen Chesler,3.71,169,267
Untamed,Glennon Doyle,3.98,"5,17,855",267
Shakespeare's Sister,Virginia Woolf,4.38,152,266
American Wife,Curtis Sittenfeld,3.78,"65,607",266
Hawkmistress!,Marion Zimmer Bradley,4,"4,509",266
Dietland,Sarai Walker,3.56,"22,448",266
"Mismeasure of Woman: Why Women Are Not the Better Sex, the Inferior Sex, or the Opposite Sex",Carol Tavris,4.07,431,266
Black and Blue,Anna Quindlen,3.89,"83,934",265
The Midwife's Apprentice,Karen Cushman,3.73,"43,507",265
"Beautiful Creatures (Caster Chronicles, #1)",Kami Garcia,3.78,"6,22,124",264
"The Two Princesses of Bamarre (The Two Princesses of Bamarre, #1)",Gail Carson Levine,4.06,"74,642",264
Vagina: A New Biography,Naomi Wolf,3.79,"4,313",262
Why Be Happy When You Could Be Normal?,Jeanette Winterson,4.01,"46,854",261
Fast Girls: Teenage Tribes and the Myth of the Slut,Emily   White,3.4,374,260
"Read My Hips: How I Learned to Love My Body, Ditch Dieting, and Live Large",Kim Brittingham,3.7,299,259
Lavinia,Ursula K. Le Guin,3.86,"17,656",259
"The Countess Conspiracy (Brothers Sinister, #3)",Courtney Milan,3.91,"13,293",258
Rage Becomes Her: The Power of Women's Anger,Soraya Chemaly,4.33,"11,455",258
The Underground Girls of Kabul: In Search of a Hidden Resistance in Afghanistan,Jenny Nordberg,4.11,"14,355",257
Literal Madness: Three Novels,Kathy Acker,3.83,253,256
The Book of the City of Ladies,Christine de Pizan,3.8,"4,522",256
"We Were Feminists Once: From Riot Grrrl to CoverGirl, the Buying and Selling of a Political Movement",Andi Zeisler,4.11,"3,263",256
"Halfway to the Grave (Night Huntress, #1)",Jeaniene Frost,4.13,"1,65,110",256
Living a Feminist Life,Sara Ahmed,4.3,"3,308",255
Virginity or Death!: And Other Social and Political Issues of Our Time,Katha Pollitt,3.94,230,254
War's Unwomanly Face,Svetlana Alexievich,4.51,"39,505",254
Open Wide the Freedom Gates: A Memoir,Dorothy I. Height,4.18,330,253
"Deeper (Caroline & West, #1)",Robin York,3.99,"8,316",253
"Magic Bites (Kate Daniels, #1)",Ilona Andrews,4.05,"1,35,493",253
Sisterhood Is Powerful: An Anthology of Writings from the Women's Liberation Movement,Robin Morgan,4.22,"1,245",253
What Is Marriage For?: The Strange Social History of Our Most Intimate Institution,E.J. Graff,3.85,143,252
Brazen: Rebel Ladies Who Rocked the World,Pénélope Bagieu,4.51,"9,403",252
Take Back the Night: Women on Pornography,Laura Lederer,3.81,52,251
Excluded: Making Feminist and Queer Movements More Inclusive,Julia Serano,3.92,881,251
"Unmentionable: The Victorian Lady's Guide to Sex, Marriage, and Manners",Therese Oneill,3.82,"9,314",251
Missoula: Rape and the Justice System in a College Town,Jon Krakauer,4.12,"59,233",250
"Loving to Survive: Sexual Terror, Men's Violence, and Women's Lives (Feminist Crosscurrents, 3)",Dee L.R. Graham,4.51,206,250
"Ahab's Wife, or The Star-Gazer",Sena Jeter Naslund,4.04,"45,321",249
The Sex Myth: The Gap Between Our Fantasies and Reality,Rachel Hills,3.55,698,249
Pink Sari Revolution: A Tale of Women and Power in India,Amana Fontanella-Khan,3.57,577,247
Living History,Hillary Rodham Clinton,3.76,"34,286",247
Moxie,Jennifer Mathieu,4.18,"35,436",247
The Essential Feminist Reader,Estelle B. Freedman,4.2,"1,015",243
Becoming,Michelle Obama,4.43,"12,06,654",243
Our Women on the Ground: Essays by Arab Women Reporting from the Arab World,Zahra Fatima Hankir,4.49,"4,539",242
In Our Time: Memoir of a Revolution,Susan Brownmiller,3.78,299,241
The Ethics of Ambiguity,Simone de Beauvoir,4.17,"8,163",240
Words of Fire: An Anthology of African-American Feminist Thought,Beverly Guy-Sheftall,4.47,950,239
A Woman Is No Man,Etaf Rum,4.25,"1,78,618",239
Lessons in Chemistry,Bonnie Garmus,4.28,"18,07,088",239
The Merchant of Venice,William Shakespeare,3.77,"2,03,809",238
"Wild Magic (Immortals, #1)",Tamora Pierce,4.31,"82,960",237
"My Gender Workbook: How to Become a Real Man, a Real Woman, the Real You, or Something Else Entirely",Kate Bornstein,3.98,"1,651",236
"Olive Kitteridge (Olive Kitteridge, #1)",Elizabeth Strout,3.86,"2,70,349",236
"A Court of Thorns and Roses (A Court of Thorns and Roses, #1)",Sarah J. Maas,4.15,"42,75,675",236
"Meena, Heroine of Afghanistan: The Martyr Who Founded RAWA, the Revolutionary Association of the Women of Afghanistan",Melody Ermachild Chavis,4.16,361,235
"Skin: Talking About Sex, Class And Literature",Dorothy Allison,4.27,"2,597",234
Straight: The Surprisingly Short History Of Heterosexuality,Hanne Blank,3.78,"1,123",234
An Autobiography,Angela Y. Davis,4.44,"10,893",234
"Le deuxième sexe, I",Simone de Beauvoir,4.21,"6,189",233
"High Country (Anna Pigeon, #12)",Nevada Barr,3.92,"9,532",232
On Being Included: Racism and Diversity in Institutional Life,Sara Ahmed,4.31,605,232
Feminism and the Marxist Movement,Mary-Alice Waters,3.86,51,231
Bitch Planet #1,Kelly Sue DeConnick,4.15,"4,393",231
The Undomestic Goddess,Sophie Kinsella,3.87,"3,14,531",230
The Macho Paradox: Why Some Men Hurt Women and How All Men Can Help,Jackson Katz,4.17,"1,014",229
"Bodies That Matter: On the Discursive Limits of ""Sex""",Judith Butler,4.12,"3,774",229
Two Serious Ladies,Jane Bowles,3.58,"4,425",226
Breakfast at Tiffany’s and Three Stories,Truman Capote,3.85,"2,52,700",225
Runaway: Stories,Alice Munro,3.96,"28,000",225
Lust,Elfriede Jelinek,3.31,"2,063",224
The Frailty Myth: Redefining the Physical Potential of Women and Girls,Colette Dowling,4.13,267,224
